"";"name";"region";"color";"strength";"eigenv";"between";"closen"
"Austria";"Austria";"E";"skyblue";188010063;0,162665082794258;0;0,136899025213748
"Belgium";"Belgium";"E";"skyblue";308085903;0,264184614396643;3;0,13353497914942
"Bulgaria";"Bulgaria";"E";"skyblue";36767903;0,0251702870469078;0;0,0790592824484433
"China";"China";"A";"gold";989245839;1;418;0,140106922808666
"HongKong";"HongKong";"A";"gold";497274258;0,386962013330638;35;0,139709615261779
"Macao";"Macao";"A";"gold";12931684;0,00833813639301583;0;0,0712106205158315
"Taiwan";"Taiwan";"A";"gold";225185373;0,439018211158966;0;0,132278695103321
"Croatia";"Croatia";"E";"skyblue";38007750;0,0171256998499257;0;0,0830801169644924
"Cyprus";"Cyprus";"E";"skyblue";9866327;0,00356000047428712;0;0,0502101745894588
"Czechia";"Czechia";"E";"skyblue";191827658;0,179404944393995;0;0,130886630862583
"Denmark";"Denmark";"E";"skyblue";102713819;0,0770386024291556;0;0,119953035598909
"Estonia";"Estonia";"E";"skyblue";20106325;0,00851307752826332;0;0,050349594430881
"Finland";"Finland";"E";"skyblue";65076000;0,046623574829598;33;0,100555708323154
"France";"France";"E";"skyblue";596911170;0,42702814070857;4;0,140473253635284
"Germany";"Germany";"E";"skyblue";1095115141;0,777585998686981;1045;0,145029051172881
"Greece";"Greece";"E";"skyblue";56227549;0,0337437811069952;70;0,0981909788572227
"Hungary";"Hungary";"E";"skyblue";133071115;0,106389117813463;0;0,126544076127954
"India";"India";"A";"gold";269324030;0,241602142189559;0;0,135673720267362
"Ireland";"Ireland";"E";"skyblue";100217196;0,117360461269803;0;0,115062155445605
"Italy";"Italy";"E";"skyblue";460874237;0,368655728704678;135;0,139271411013023
"Japan";"Japan";"A";"gold";333075504;0,480299467953297;0;0,136115134294599
"Latvia";"Latvia";"E";"skyblue";20480368;0,00799831228107907;0;0,0520293329202791
"Lithuania";"Lithuania";"E";"skyblue";36740080;0,0181814358282493;35;0,0822218337035247
"Luxembourg";"Luxembourg";"E";"skyblue";22905239;0,016534071571011;0;0,0814660577448078
"Malta";"Malta";"E";"skyblue";6428219;0,0048446757324936;0;0,0285243153363881
"Netherlands";"Netherlands";"E";"skyblue";564326271;0,458281478569029;35;0,140718903206581
"Norway";"Norway";"E";"skyblue";75949936;0,0764238646895724;0;0,0996998385394022
"Poland";"Poland";"E";"skyblue";294554438;0,257070016834862;33;0,135722259524611
"Portugal";"Portugal";"E";"skyblue";97809397;0,0605937085095457;0;0,119019782233098
"Korea";"Korea";"A";"gold";300602552;0,457084845861647;0;0,135326548464759
"Romania";"Romania";"E";"skyblue";112946807;0,0784710442148308;0;0,12124929355281
"Slovakia";"Slovakia";"E";"skyblue";79144012;0,0688846501441989;0;0,110362225690214
"Slovenia";"Slovenia";"E";"skyblue";64530141;0,0426327790310072;0;0,10717937261361
"Spain";"Spain";"E";"skyblue";287278713;0,241457070988468;70;0,132930774402414
"Sweden";"Sweden";"E";"skyblue";167114673;0,109902934705961;0;0,126105948659838
"Switzerland";"Switzerland";"E";"skyblue";245604673;0,256755747611891;69;0,135551022024844
"UK";"UK";"E";"skyblue";519880073;0,341528799006446;64;0,138279605464385
